"order_id","customer_id","product_name","region","customer_segment","order_date","last_update_unix","units_sold","unit_price","notes","last_update","notes_clean","revenue","month"
100022,3871,Monitor,North,Corporate,2024-05-09 00:00:00.000,1715292000,17,1580.49,Handle with care!!!,2024-05-09 22:00:00.000,Handle with care,26868.33,"2024-05"
100023,1897,Monitor,Central,Corporate,2024-09-17 00:00:00.000,1726696800,7,1782.56,Customer requested fast shipping!!!,2024-09-18 22:00:00.000,Customer requested fast shipping,12477.92,"2024-09"
100024,3943,Laptop,Central,Consumer,2023-07-25 00:00:00.000,1690581600,1,312.13,Handle with care!!!,2023-07-28 22:00:00.000,Handle with care,312.13,"2023-07"
100025,1924,Laptop,North,Home Office,2023-03-20 00:00:00.000,1679349600,9,477.3,Leave package at door ###,2023-03-20 22:00:00.000,Leave package at door ,4295.7,"2023-03"
100026,2346,Phone,West,Home Office,2023-01-31 00:00:00.000,1675288800,9,1915.91,Customer requested fast shipping!!!,2023-02-01 22:00:00.000,Customer requested fast shipping,17243.190000000002,"2023-01"
100027,4894,Monitor,West,Consumer,2024-02-24 00:00:00.000,1708898400,20,1564.23,Handle with care!!!,2024-02-25 22:00:00.000,Handle with care,31284.6,"2024-02"
100028,2599,Router,Central,Consumer,2024-11-14 00:00:00.000,1731967200,3,1459.05,Call customer before delivery @@@,2024-11-18 22:00:00.000,Call customer before delivery ,4377.15,"2024-11"
100029,3663,Headphones,Central,Consumer,2023-04-02 00:00:00.000,1680559200,12,782.53,Handle with care!!!,2023-04-03 22:00:00.000,Handle with care,9390.36,"2023-04"
100030,4518,Laptop,East,Home Office,2023-06-01 00:00:00.000,1685916000,4,939.82,Special discount applied %,2023-06-04 22:00:00.000,Special discount applied ,3759.28,"2023-06"
100031,2586,Tablet,Central,Consumer,2023-11-08 00:00:00.000,1699653600,4,1187.65,Leave package at door ###,2023-11-10 22:00:00.000,Leave package at door ,4750.6,"2023-11"
100032,1499,Laptop,West,Home Office,2023-06-17 00:00:00.000,1687039200,5,115.18,Customer requested fast shipping!!!,2023-06-17 22:00:00.000,Customer requested fast shipping,575.9000000000001,"2023-06"
100033,4728,Headphones,South,Home Office,2024-02-06 00:00:00.000,1707516000,2,1999.57,Gift-wrap requested @ checkout,2024-02-09 22:00:00.000,Giftwrap requested  checkout,3999.14,"2024-02"
100034,4766,Keyboard,East,Home Office,2023-12-16 00:00:00.000,1703109600,5,1893.14,Call customer before delivery @@@,2023-12-20 22:00:00.000,Call customer before delivery ,9465.7,"2023-12"
100035,4614,Camera,Central,Consumer,2024-12-15 00:00:00.000,1734559200,11,1599.08,Late delivery #complaint,2024-12-18 22:00:00.000,Late delivery complaint,17589.879999999997,"2024-12"
100036,1439,Laptop,East,Home Office,2023-03-17 00:00:00.000,1679176800,2,649.47,Handle with care!!!,2023-03-18 22:00:00.000,Handle with care,1298.94,"2023-03"
100037,1885,Tablet,North,Corporate,2023-08-28 00:00:00.000,1693605600,15,1237.31,Late delivery #complaint,2023-09-01 22:00:00.000,Late delivery complaint,18559.649999999998,"2023-08"
100038,2376,Mouse,West,Corporate,2024-01-28 00:00:00.000,1706824800,14,1845.21,Special discount applied %,2024-02-01 22:00:00.000,Special discount applied ,25832.940000000002,"2024-01"
100039,2357,Camera,West,Home Office,2023-03-14 00:00:00.000,1678831200,5,1321.03,Customer requested fast shipping!!!,2023-03-14 22:00:00.000,Customer requested fast shipping,6605.15,"2023-03"
100040,3700,Phone,Central,Corporate,2024-05-09 00:00:00.000,1715551200,2,1816.79,Special discount applied %,2024-05-12 22:00:00.000,Special discount applied ,3633.58,"2024-05"
100041,4607,Keyboard,Central,Consumer,2023-03-07 00:00:00.000,1678572000,16,1189.67,Fragile item ***,2023-03-11 22:00:00.000,Fragile item ,19034.72,"2023-03"
100042,3494,Camera,West,Home Office,2023-09-03 00:00:00.000,1693864800,17,685.01,Late delivery #complaint,2023-09-04 22:00:00.000,Late delivery complaint,11645.17,"2023-09"
100043,3242,Printer,West,Corporate,2024-05-23 00:00:00.000,1716588000,14,498.03,Fragile item ***,2024-05-24 22:00:00.000,Fragile item ,6972.42,"2024-05"
100044,2009,Mouse,Central,Consumer,2023-12-07 00:00:00.000,1702332000,17,1905.06,Urgent order!!!,2023-12-11 22:00:00.000,Urgent order,32386.02,"2023-12"
100045,3191,Printer,East,Consumer,2024-10-25 00:00:00.000,1729807200,14,857.3,Handle with care!!!,2024-10-24 22:00:00.000,Handle with care,12002.199999999999,"2024-10"
100046,2869,Headphones,East,Corporate,2024-11-22 00:00:00.000,1732312800,17,1932.76,Late delivery #complaint,2024-11-22 22:00:00.000,Late delivery complaint,32856.92,"2024-11"
100047,4600,Router,West,Consumer,2024-10-16 00:00:00.000,1729202400,20,1477.21,Fragile item ***,2024-10-17 22:00:00.000,Fragile item ,29544.2,"2024-10"
100048,4334,Mouse,South,Consumer,2024-07-25 00:00:00.000,1722031200,10,557.53,Gift-wrap requested @ checkout,2024-07-26 22:00:00.000,Giftwrap requested  checkout,5575.299999999999,"2024-07"
100049,3693,Monitor,South,Corporate,2023-05-04 00:00:00.000,1683324000,15,1976.3,Urgent order!!!,2023-05-05 22:00:00.000,Urgent order,29644.5,"2023-05"
100050,4194,Keyboard,West,Home Office,2024-11-11 00:00:00.000,1731535200,17,768.65,VIP customer order $$$,2024-11-13 22:00:00.000,VIP customer order ,13067.05,"2024-11"
100051,1890,Headphones,North,Consumer,2024-03-22 00:00:00.000,1711231200,14,1437.38,Call customer before delivery @@@,2024-03-23 22:00:00.000,Call customer before delivery ,20123.32,"2024-03"
100052,3764,Phone,South,Consumer,2024-05-13 00:00:00.000,1715983200,17,1374.65,VIP customer order $$$,2024-05-17 22:00:00.000,VIP customer order ,23369.050000000003,"2024-05"
100053,2506,Phone,South,Consumer,2023-04-12 00:00:00.000,1681336800,18,1905.29,Special discount applied %,2023-04-12 22:00:00.000,Special discount applied ,34295.22,"2023-04"
100054,3852,Camera,Central,Corporate,2024-11-19 00:00:00.000,1732053600,3,1931.71,Late delivery #complaint,2024-11-19 22:00:00.000,Late delivery complaint,5795.13,"2024-11"
100055,4452,Tablet,West,Home Office,2023-07-05 00:00:00.000,1688508000,20,571.65,VIP customer order $$$,2023-07-04 22:00:00.000,VIP customer order ,11433.0,"2023-07"
100056,4882,Laptop,West,Corporate,2023-03-22 00:00:00.000,1679436000,20,1156.91,Special discount applied %,2023-03-21 22:00:00.000,Special discount applied ,23138.2,"2023-03"
100057,2435,Tablet,North,Corporate,2023-09-29 00:00:00.000,1696111200,5,1834.02,Handle with care!!!,2023-09-30 22:00:00.000,Handle with care,9170.1,"2023-09"
100058,4246,Phone,West,Corporate,2023-12-11 00:00:00.000,1702677600,18,292.03,Gift-wrap requested @ checkout,2023-12-15 22:00:00.000,Giftwrap requested  checkout,5256.539999999999,"2023-12"
100059,4897,Tablet,South,Home Office,2023-03-25 00:00:00.000,1679954400,5,1526.6,Customer requested fast shipping!!!,2023-03-27 22:00:00.000,Customer requested fast shipping,7633.0,"2023-03"
100060,1687,Laptop,North,Home Office,2023-01-04 00:00:00.000,1673215200,11,303.99,Gift-wrap requested @ checkout,2023-01-08 22:00:00.000,Giftwrap requested  checkout,3343.8900000000003,"2023-01"
100061,4634,Mouse,East,Corporate,2023-02-12 00:00:00.000,1676239200,20,1320.97,Gift-wrap requested @ checkout,2023-02-12 22:00:00.000,Giftwrap requested  checkout,26419.4,"2023-02"
100062,1412,Camera,East,Home Office,2024-11-04 00:00:00.000,1731016800,19,676.01,Leave package at door ###,2024-11-07 22:00:00.000,Leave package at door ,12844.19,"2024-11"
100063,4067,Tablet,South,Consumer,2023-11-16 00:00:00.000,1700172000,4,751.21,Customer requested fast shipping!!!,2023-11-16 22:00:00.000,Customer requested fast shipping,3004.84,"2023-11"
100064,3815,Laptop,East,Corporate,2024-11-20 00:00:00.000,1732399200,17,1853.94,Handle with care!!!,2024-11-23 22:00:00.000,Handle with care,31516.98,"2024-11"
100065,4758,Headphones,Central,Consumer,2023-03-08 00:00:00.000,1678572000,18,546.5,Leave package at door ###,2023-03-11 22:00:00.000,Leave package at door ,9837.0,"2023-03"
100066,3636,Phone,Central,Consumer,2024-12-12 00:00:00.000,1733954400,13,1434.5,Handle with care!!!,2024-12-11 22:00:00.000,Handle with care,18648.5,"2024-12"
100067,1331,Phone,North,Corporate,2024-05-01 00:00:00.000,1714946400,13,1737.44,Fragile item ***,2024-05-05 22:00:00.000,Fragile item ,22586.72,"2024-05"
100068,1899,Laptop,South,Consumer,2023-10-12 00:00:00.000,1697493600,13,1050.03,Call customer before delivery @@@,2023-10-16 22:00:00.000,Call customer before delivery ,13650.39,"2023-10"
100069,1443,Monitor,South,Home Office,2024-09-19 00:00:00.000,1727042400,15,1256.53,Late delivery #complaint,2024-09-22 22:00:00.000,Late delivery complaint,18847.95,"2024-09"
100070,3408,Monitor,East,Home Office,2024-04-17 00:00:00.000,1713736800,14,1193.96,Customer requested fast shipping!!!,2024-04-21 22:00:00.000,Customer requested fast shipping,16715.440000000002,"2024-04"
100071,1500,Mouse,East,Consumer,2023-05-18 00:00:00.000,1684706400,18,573.04,Gift-wrap requested @ checkout,2023-05-21 22:00:00.000,Giftwrap requested  checkout,10314.72,"2023-05"
100072,1696,Keyboard,Central,Home Office,2023-08-22 00:00:00.000,1692914400,5,1194.6,Leave package at door ###,2023-08-24 22:00:00.000,Leave package at door ,5973.0,"2023-08"
100073,3876,Monitor,South,Corporate,2023-03-30 00:00:00.000,1680559200,1,1639.95,Leave package at door ###,2023-04-03 22:00:00.000,Leave package at door ,1639.95,"2023-03"
100074,3160,Camera,West,Consumer,2023-10-25 00:00:00.000,1698616800,14,668.74,Urgent order!!!,2023-10-29 22:00:00.000,Urgent order,9362.36,"2023-10"
100075,4129,Phone,Central,Consumer,2024-03-10 00:00:00.000,1710453600,3,799.0,Late delivery #complaint,2024-03-14 22:00:00.000,Late delivery complaint,2397.0,"2024-03"
100076,3049,Laptop,East,Corporate,2023-09-19 00:00:00.000,1695247200,10,513.42,Late delivery #complaint,2023-09-20 22:00:00.000,Late delivery complaint,5134.2,"2023-09"
100077,1307,Mouse,West,Home Office,2023-04-13 00:00:00.000,1681596000,12,412.08,VIP customer order $$$,2023-04-15 22:00:00.000,VIP customer order ,4944.96,"2023-04"
100078,3031,Phone,East,Consumer,2023-04-01 00:00:00.000,1680559200,5,1372.13,Late delivery #complaint,2023-04-03 22:00:00.000,Late delivery complaint,6860.650000000001,"2023-04"
100079,4907,Laptop,North,Home Office,2024-03-20 00:00:00.000,1711317600,4,470.86,Urgent order!!!,2024-03-24 22:00:00.000,Urgent order,1883.44,"2024-03"
100080,2318,Headphones,North,Consumer,2023-11-06 00:00:00.000,1699480800,20,587.2,Customer requested fast shipping!!!,2023-11-08 22:00:00.000,Customer requested fast shipping,11744.0,"2023-11"
100081,2847,Monitor,West,Corporate,2023-12-19 00:00:00.000,1703196000,15,418.19,Customer requested fast shipping!!!,2023-12-21 22:00:00.000,Customer requested fast shipping,6272.85,"2023-12"
100082,2722,Mouse,East,Consumer,2024-09-02 00:00:00.000,1725660000,16,1041.09,Call customer before delivery @@@,2024-09-06 22:00:00.000,Call customer before delivery ,16657.44,"2024-09"
100083,2137,Laptop,North,Home Office,2024-06-05 00:00:00.000,1717970400,11,187.02,Handle with care!!!,2024-06-09 22:00:00.000,Handle with care,2057.2200000000003,"2024-06"
100084,1609,Tablet,North,Consumer,2023-10-18 00:00:00.000,1697580000,9,32.64,Customer requested fast shipping!!!,2023-10-17 22:00:00.000,Customer requested fast shipping,293.76,"2023-10"
100085,3362,Headphones,West,Corporate,2024-02-09 00:00:00.000,1707688800,2,583.41,Urgent order!!!,2024-02-11 22:00:00.000,Urgent order,1166.82,"2024-02"
100086,1071,Router,West,Home Office,2024-05-12 00:00:00.000,1715551200,13,55.39,Handle with care!!!,2024-05-12 22:00:00.000,Handle with care,720.07,"2024-05"
100087,4414,Router,South,Corporate,2024-04-28 00:00:00.000,1714255200,12,44.72,Gift-wrap requested @ checkout,2024-04-27 22:00:00.000,Giftwrap requested  checkout,536.64,"2024-04"
100088,2628,Tablet,North,Corporate,2023-01-16 00:00:00.000,1674165600,15,883.68,Leave package at door ###,2023-01-19 22:00:00.000,Leave package at door ,13255.199999999999,"2023-01"
100089,4542,Camera,South,Consumer,2024-08-11 00:00:00.000,1723759200,9,1466.92,Urgent order!!!,2024-08-15 22:00:00.000,Urgent order,13202.28,"2024-08"
100090,4890,Keyboard,Central,Home Office,2023-07-22 00:00:00.000,1690322400,15,1851.98,Leave package at door ###,2023-07-25 22:00:00.000,Leave package at door ,27779.7,"2023-07"
100091,2985,Mouse,Central,Corporate,2024-07-08 00:00:00.000,1720821600,16,1376.13,Handle with care!!!,2024-07-12 22:00:00.000,Handle with care,22018.08,"2024-07"
100092,3726,Printer,East,Home Office,2023-10-24 00:00:00.000,1698530400,4,425.57,Special discount applied %,2023-10-28 22:00:00.000,Special discount applied ,1702.28,"2023-10"
100093,1538,Printer,East,Consumer,2023-10-30 00:00:00.000,1698789600,1,328.03,Handle with care!!!,2023-10-31 22:00:00.000,Handle with care,328.03,"2023-10"
100094,4432,Printer,Central,Corporate,2023-10-30 00:00:00.000,1698616800,16,1114.72,Customer requested fast shipping!!!,2023-10-29 22:00:00.000,Customer requested fast shipping,17835.52,"2023-10"
100095,3954,Mouse,East,Corporate,2024-11-11 00:00:00.000,1731535200,4,1094.81,Handle with care!!!,2024-11-13 22:00:00.000,Handle with care,4379.24,"2024-11"
100096,3461,Printer,West,Home Office,2023-07-20 00:00:00.000,1690063200,11,1809.62,Call customer before delivery @@@,2023-07-22 22:00:00.000,Call customer before delivery ,19905.82,"2023-07"
100097,4515,Headphones,Central,Corporate,2024-08-11 00:00:00.000,1723759200,10,304.72,Gift-wrap requested @ checkout,2024-08-15 22:00:00.000,Giftwrap requested  checkout,3047.2000000000003,"2024-08"
100098,2849,Tablet,South,Home Office,2024-06-01 00:00:00.000,1717452000,11,1838.26,Leave package at door ###,2024-06-03 22:00:00.000,Leave package at door ,20220.86,"2024-06"
100099,4969,Tablet,South,Consumer,2024-04-17 00:00:00.000,1713564000,8,772.08,Handle with care!!!,2024-04-19 22:00:00.000,Handle with care,6176.64,"2024-04"
100100,3018,Headphones,East,Home Office,2023-01-29 00:00:00.000,1675029600,14,444.08,Customer requested fast shipping!!!,2023-01-29 22:00:00.000,Customer requested fast shipping,6217.12,"2023-01"
100101,1272,Camera,North,Consumer,2024-07-07 00:00:00.000,1720303200,7,1472.41,Late delivery #complaint,2024-07-06 22:00:00.000,Late delivery complaint,10306.87,"2024-07"
100102,2280,Camera,West,Home Office,2024-01-23 00:00:00.000,1705960800,15,1341.2,Fragile item ***,2024-01-22 22:00:00.000,Fragile item ,20118.0,"2024-01"
100103,4882,Camera,West,Corporate,2023-08-02 00:00:00.000,1691013600,3,473.35,Urgent order!!!,2023-08-02 22:00:00.000,Urgent order,1420.0500000000002,"2023-08"
100104,1317,Keyboard,South,Corporate,2023-06-17 00:00:00.000,1686952800,13,729.52,Leave package at door ###,2023-06-16 22:00:00.000,Leave package at door ,9483.76,"2023-06"
100105,3676,Mouse,South,Consumer,2024-03-04 00:00:00.000,1709503200,5,1639.41,Customer requested fast shipping!!!,2024-03-03 22:00:00.000,Customer requested fast shipping,8197.050000000001,"2024-03"
100106,4786,Phone,Central,Corporate,2024-03-26 00:00:00.000,1711576800,5,1564.36,Handle with care!!!,2024-03-27 22:00:00.000,Handle with care,7821.799999999999,"2024-03"
100107,2687,Keyboard,North,Corporate,2023-12-30 00:00:00.000,1704232800,4,1822.6,Late delivery #complaint,2024-01-02 22:00:00.000,Late delivery complaint,7290.4,"2023-12"
100108,3612,Router,North,Consumer,2024-09-21 00:00:00.000,1726869600,4,1936.85,Special discount applied %,2024-09-20 22:00:00.000,Special discount applied ,7747.4,"2024-09"
100109,3494,Laptop,North,Corporate,2023-02-14 00:00:00.000,1676498400,3,627.13,Urgent order!!!,2023-02-15 22:00:00.000,Urgent order,1881.3899999999999,"2023-02"
100110,1061,Monitor,Central,Consumer,2024-12-31 00:00:00.000,1735682400,18,1283.16,Late delivery #complaint,2024-12-31 22:00:00.000,Late delivery complaint,23096.88,"2024-12"
100111,3056,Printer,South,Consumer,2023-09-07 00:00:00.000,1694037600,18,980.01,Special discount applied %,2023-09-06 22:00:00.000,Special discount applied ,17640.18,"2023-09"
100112,4230,Laptop,Central,Consumer,2023-02-21 00:00:00.000,1677016800,4,1971.99,Late delivery #complaint,2023-02-21 22:00:00.000,Late delivery complaint,7887.96,"2023-02"
100113,3090,Monitor,North,Corporate,2023-09-17 00:00:00.000,1694988000,10,849.45,Special discount applied %,2023-09-17 22:00:00.000,Special discount applied ,8494.5,"2023-09"
100114,4678,Keyboard,East,Home Office,2023-06-25 00:00:00.000,1687989600,2,1397.24,Late delivery #complaint,2023-06-28 22:00:00.000,Late delivery complaint,2794.48,"2023-06"
100115,2993,Monitor,North,Home Office,2023-09-12 00:00:00.000,1694556000,4,342.58,Special discount applied %,2023-09-12 22:00:00.000,Special discount applied ,1370.32,"2023-09"
100116,4430,Camera,East,Home Office,2023-07-20 00:00:00.000,1690236000,1,324.86,Special discount applied %,2023-07-24 22:00:00.000,Special discount applied ,324.86,"2023-07"
100117,1769,Mouse,East,Home Office,2024-10-25 00:00:00.000,1730152800,9,1668.04,Customer requested fast shipping!!!,2024-10-28 22:00:00.000,Customer requested fast shipping,15012.36,"2024-10"
100118,2271,Mouse,South,Home Office,2023-03-08 00:00:00.000,1678399200,5,1952.33,Special discount applied %,2023-03-09 22:00:00.000,Special discount applied ,9761.65,"2023-03"
100119,4238,Tablet,North,Home Office,2023-11-08 00:00:00.000,1699653600,7,1296.26,VIP customer order $$$,2023-11-10 22:00:00.000,VIP customer order ,9073.82,"2023-11"
100120,1578,Printer,East,Corporate,2024-02-10 00:00:00.000,1707602400,20,604.62,Gift-wrap requested @ checkout,2024-02-10 22:00:00.000,Giftwrap requested  checkout,12092.4,"2024-02"
100121,2279,Router,West,Home Office,2024-12-12 00:00:00.000,1734300000,10,764.56,Customer requested fast shipping!!!,2024-12-15 22:00:00.000,Customer requested fast shipping,7645.599999999999,"2024-12"
100122,4906,Headphones,South,Consumer,2023-07-29 00:00:00.000,1690581600,9,1272.26,Late delivery #complaint,2023-07-28 22:00:00.000,Late delivery complaint,11450.34,"2023-07"
100123,3193,Printer,South,Consumer,2023-11-23 00:00:00.000,1700690400,11,1518.64,Fragile item ***,2023-11-22 22:00:00.000,Fragile item ,16705.04,"2023-11"
100124,3780,Mouse,North,Home Office,2023-02-07 00:00:00.000,1675720800,6,1392.95,Leave package at door ###,2023-02-06 22:00:00.000,Leave package at door ,8357.7,"2023-02"
100125,1588,Monitor,Central,Home Office,2024-01-07 00:00:00.000,1704837600,3,1474.84,Late delivery #complaint,2024-01-09 22:00:00.000,Late delivery complaint,4424.5199999999995,"2024-01"
100126,4851,Laptop,South,Corporate,2023-11-15 00:00:00.000,1700085600,14,1186.19,Customer requested fast shipping!!!,2023-11-15 22:00:00.000,Customer requested fast shipping,16606.66,"2023-11"
100127,4109,Phone,East,Consumer,2024-03-28 00:00:00.000,1711836000,4,961.34,Call customer before delivery @@@,2024-03-30 22:00:00.000,Call customer before delivery ,3845.36,"2024-03"
100128,2601,Printer,East,Home Office,2023-12-21 00:00:00.000,1703541600,17,559.99,Handle with care!!!,2023-12-25 22:00:00.000,Handle with care,9519.83,"2023-12"
100129,3492,Phone,Central,Home Office,2023-04-29 00:00:00.000,1683064800,1,1034.43,Fragile item ***,2023-05-02 22:00:00.000,Fragile item ,1034.43,"2023-04"
100130,4932,Mouse,Central,Corporate,2023-08-08 00:00:00.000,1691704800,14,870.94,Leave package at door ###,2023-08-10 22:00:00.000,Leave package at door ,12193.16,"2023-08"
100131,4104,Headphones,South,Consumer,2024-01-18 00:00:00.000,1705788000,7,203.12,Call customer before delivery @@@,2024-01-20 22:00:00.000,Call customer before delivery ,1421.8400000000001,"2024-01"
100132,4483,Monitor,North,Consumer,2023-07-16 00:00:00.000,1689631200,3,1624.01,Late delivery #complaint,2023-07-17 22:00:00.000,Late delivery complaint,4872.03,"2023-07"
100133,2694,Router,Central,Home Office,2024-12-18 00:00:00.000,1734818400,14,1924.66,Late delivery #complaint,2024-12-21 22:00:00.000,Late delivery complaint,26945.24,"2024-12"
100134,4572,Printer,South,Consumer,2024-05-25 00:00:00.000,1716847200,16,44.39,Special discount applied %,2024-05-27 22:00:00.000,Special discount applied ,710.24,"2024-05"
100135,2514,Monitor,East,Consumer,2023-02-23 00:00:00.000,1677276000,20,203.13,Special discount applied %,2023-02-24 22:00:00.000,Special discount applied ,4062.6,"2023-02"
100136,3563,Router,South,Consumer,2024-10-20 00:00:00.000,1729720800,14,1709.85,Special discount applied %,2024-10-23 22:00:00.000,Special discount applied ,23937.899999999998,"2024-10"
100137,2075,Headphones,East,Home Office,2024-12-05 00:00:00.000,1733608800,18,217.54,Leave package at door ###,2024-12-07 22:00:00.000,Leave package at door ,3915.72,"2024-12"
100138,4720,Laptop,South,Consumer,2023-10-25 00:00:00.000,1698616800,8,618.79,Call customer before delivery @@@,2023-10-29 22:00:00.000,Call customer before delivery ,4950.32,"2023-10"
100139,3923,Laptop,East,Consumer,2024-05-22 00:00:00.000,1716760800,6,1274.28,Gift-wrap requested @ checkout,2024-05-26 22:00:00.000,Giftwrap requested  checkout,7645.68,"2024-05"
100140,1823,Keyboard,South,Home Office,2023-09-28 00:00:00.000,1696024800,8,1572.76,Call customer before delivery @@@,2023-09-29 22:00:00.000,Call customer before delivery ,12582.08,"2023-09"
100141,4821,Laptop,West,Consumer,2024-07-12 00:00:00.000,1720994400,18,145.9,Urgent order!!!,2024-07-14 22:00:00.000,Urgent order,2626.2000000000003,"2024-07"
100142,1296,Mouse,North,Corporate,2023-05-06 00:00:00.000,1683669600,6,341.21,Late delivery #complaint,2023-05-09 22:00:00.000,Late delivery complaint,2047.2599999999998,"2023-05"
100143,2915,Laptop,Central,Corporate,2024-09-03 00:00:00.000,1725660000,8,1738.88,Call customer before delivery @@@,2024-09-06 22:00:00.000,Call customer before delivery ,13911.04,"2024-09"
100144,3491,Headphones,North,Corporate,2023-06-20 00:00:00.000,1687298400,20,1254.9,Late delivery #complaint,2023-06-20 22:00:00.000,Late delivery complaint,25098.0,"2023-06"
100145,2827,Monitor,South,Corporate,2023-10-13 00:00:00.000,1697148000,14,670.11,Late delivery #complaint,2023-10-12 22:00:00.000,Late delivery complaint,9381.54,"2023-10"
100146,2087,Keyboard,Central,Consumer,2023-02-15 00:00:00.000,1676584800,17,1473.67,Urgent order!!!,2023-02-16 22:00:00.000,Urgent order,25052.39,"2023-02"
100147,1182,Tablet,Central,Corporate,2023-08-09 00:00:00.000,1691532000,8,1445.04,Special discount applied %,2023-08-08 22:00:00.000,Special discount applied ,11560.32,"2023-08"
100148,2367,Tablet,Central,Home Office,2024-05-01 00:00:00.000,1714600800,17,1905.07,Urgent order!!!,2024-05-01 22:00:00.000,Urgent order,32386.19,"2024-05"
100149,4576,Monitor,West,Consumer,2023-07-26 00:00:00.000,1690581600,10,911.66,Late delivery #complaint,2023-07-28 22:00:00.000,Late delivery complaint,9116.6,"2023-07"
100150,3067,Headphones,North,Corporate,2024-12-15 00:00:00.000,1734300000,18,217.0,Late delivery #complaint,2024-12-15 22:00:00.000,Late delivery complaint,3906.0,"2024-12"
